"Guid","AccountId","AssistantName","AssistantPhone","Birthdate","Department","Description","Email","EmailBouncedReason","Fax","FirstName","HomePhone","Jigsaw","LastName","LeadSource","MailingCity","MailingCountry","MailingGeocodeAccuracy","MailingLatitude","MailingLongitude","MailingPostalCode","MailingState","MailingStreet","MobilePhone","OtherCity","OtherCountry","OtherGeocodeAccuracy","OtherLatitude","OtherLongitude","OtherPhone","OtherPostalCode","OtherState","OtherStreet","Phone","ReportsToId","Salutation","Title"
0ce6e76d-f4f0-45ee-92b0-cf1c162834dd,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",info@salesforce.com,"#N/A",(212) 555-5555,Leanne,"#N/A","#N/A",Tomlin,"#N/A",New York,USA,"#N/A","#N/A","#N/A",31349,NY,10 Main Rd.,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(212) 555-5555,"#N/A","#N/A",VP Customer Support
0fe71c6d-f07f-4cab-adae-043df0ae70af,c55471af-f21e-40b6-8465-3b83d5d3740d,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Maria,"#N/A","#N/A",Ioana,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Ms.,"#N/A"
121bf099-fdc1-4aac-9454-5b9ebe07b3cc,e6fcf160-f42c-4554-8470-99fea579c524,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New Kid,"#N/A","#N/A",New3,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",123,"#N/A",Mr.,"#N/A"
198521ea-8a85-4f96-97ff-a117e71180a8,1d807563-1e7e-4cc7-9420-867ed412caf3,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",shaikh,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A"
1f13ee59-1a6f-4fb2-8a88-b25e2e468a66,98cf3acd-004b-4104-8e8b-beaddc3b4dd7,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Contact,"#N/A","#N/A",Last,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Ms.,"#N/A"
207b8b63-fa5b-4625-a8ee-06792b3c4f04,"#N/A","#N/A","#N/A","#N/A","#N/A","Marc R. Benioff is chairman and CEO of salesforce.com. He founded the company in March 1999 with the idea to create an information utility that would make traditional enterprise software technology and business models obsolete. A veteran of 25 years in the software industry, he is now regarded as a pioneer of ""The End Of Software,"" demonstrating how on-demand applications can replace traditional software to deliver immediate benefit at reduced risk. In May 2003, Benioff was appointed by President George W. Bush as co-chair of the President's Information Technology Advisory Committee (PITAC), a bi-partisan organization of business leaders and academics charged to advise The President on how to maintain the United States' preeminent position in information technology.",info@salesforce.com,"#N/A",(415) 901-7040,Marc,"#N/A","#N/A",Benioff,"#N/A",San Francisco,USA,"#N/A","#N/A","#N/A",94105,CA,"The Landmark @ One Market, Suite 300","#N/A",San Francisco,USA,"#N/A","#N/A","#N/A","#N/A",94105,CA,"The Landmark @ One Market, Suite 300",(415) 901-7000,"#N/A",Mr.,Executive Officer
219384a7-1219-4e0f-bac2-7785a65f9a81,925b6684-0596-498b-955e-049c9215a690,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Contact,"#N/A","#N/A",Last,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Ms.,"#N/A"
2255abc1-ab1f-42dc-8a8b-c4b934dfcdf8,cef48d7d-6bdf-4e9c-926c-237503e70477,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Maria,"#N/A","#N/A",Ioana,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Ms.,"#N/A"
234849b6-c97d-432e-8c92-ee5f756b90d7,98cf3acd-004b-4104-8e8b-beaddc3b4dd7,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Maria,"#N/A","#N/A",Ioana,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Ms.,"#N/A"
2875c98f-324b-47f4-aac9-1f9b1ca51032,a233043f-4e4e-4732-a226-056c1eca64b7,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New Kid,"#N/A","#N/A",New3,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",123,"#N/A",Mr.,"#N/A"
2c06c038-553b-463e-8677-8b49e90421b3,6c365330-3c9d-4228-94ca-b2e654275913,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New Kid,"#N/A","#N/A",New3,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",123,"#N/A",Mr.,"#N/A"
2d23e14a-c440-40ba-a76e-2c9a50753e3f,ba88bb16-f1f9-4ff7-91fa-21ee10c34cfd,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Contact,"#N/A","#N/A",Last,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Ms.,"#N/A"
2e1a1040-a54e-455a-a44e-aa7050393850,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",info@salesforce.com,"#N/A","#N/A",Geoff,"#N/A","#N/A",Minor,"#N/A",Toronto,Canada,"#N/A","#N/A","#N/A",L4B 1Y3,Ontario,150 Chestnut Street,"#N/A",Toronto,Canada,"#N/A","#N/A","#N/A","#N/A",L4B 1Y3,Ontario,150 Chestnut Street,(415) 555-1212,"#N/A","#N/A",President
3055a5a3-362d-483b-9745-45444c24a459,c55471af-f21e-40b6-8465-3b83d5d3740d,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Contact,"#N/A","#N/A",Last,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Ms.,"#N/A"
331fe4ed-91e4-47c4-8f8f-10cc410087d9,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",info@salesforce.com,"#N/A",(212) 555-5555,Howard,"#N/A","#N/A",Jones,"#N/A",New York,USA,"#N/A","#N/A","#N/A",31349,NY,10 Main Rd.,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(212) 555-5555,"#N/A","#N/A",Buyer
33fdb1c5-8d53-4717-be29-397003ad9845,6c365330-3c9d-4228-94ca-b2e654275913,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New Kid,"#N/A","#N/A",New3,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",123,"#N/A",Mr.,"#N/A"
35e130ce-53d0-4e30-86b8-908ce6115b6b,0ccef6ce-e69d-4cda-985d-b6840f0bf01d,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New Kid,"#N/A","#N/A",New3,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",123,"#N/A",Mr.,"#N/A"
387633d7-9f09-4e9c-b9aa-1b6c9c3f5e89,98cf3acd-004b-4104-8e8b-beaddc3b4dd7,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Contact,"#N/A","#N/A",Last,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Ms.,"#N/A"
395093ac-dddd-45ac-997b-c161e21402bc,15b010a2-e0cb-48cd-84e7-2a4831ed8b7a,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",madeInControl,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A"
